"tilltalsnamn","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"Denis",13,11,10,12,..,12,11,13,17,..,..
"Deniz",12,17,..,..,12,12,14,12,16,22,13
"Dennis",151,148,110,118,116,88,82,54,77,56,37
"Denniz",10,..,..,..,..,..,..,..,..,..,..
"Devin ",..,11,24,26,22,33,55,50,61,58,52
"Dewin",..,..,..,..,..,..,..,..,10,10,14
"Dexter",19,30,26,29,45,64,69,42,62,78,66
"Diar",..,..,..,..,..,..,..,..,..,..,12
"Didrik",31,25,32,25,29,27,33,39,25,29,27
"Diego",..,..,10,13,13,..,10,15,..,..,..
"Diesel",..,..,..,..,..,..,..,11,..,..,..
"Dilan",..,..,11,..,..,..,14,10,..,..,15
"Dino",18,21,15,26,30,22,22,21,..,20,16
"Dio ",..,..,..,..,..,..,..,10,..,..,..
"Dion",..,..,13,22,18,18,17,17,22,15,14
"Dominic",12,15,14,16,26,23,20,22,23,25,32
"Dominik",..,..,..,..,..,..,..,10,..,11,..
"Dorian",..,..,..,..,..,..,..,10,..,..,..
"Douglas",69,79,74,70,68,75,109,95,81,92,86
"Dylan",17,16,38,22,21,23,44,43,56,45,46
"Ebbe",38,41,49,62,74,114,134,134,230,221,329
"Ebbot ",..,..,..,..,..,..,23,15,20,27,69
"Eddie",92,95,104,115,112,130,168,164,170,161,164
"Eddy",..,..,..,14,..,..,..,14,..,..,..
"Edgar",17,17,19,13,18,21,47,30,23,34,41
"Edin",12,11,14,18,..,15,19,16,13,19,21
"Edmond",..,..,10,..,..,..,..,..,..,..,..
"Edmund",..,..,..,..,..,..,..,..,..,..,10
"Edvard",31,21,27,23,40,34,38,55,53,49,47
"Edward",39,32,50,41,45,68,74,76,110,115,101
"Edvin",368,400,407,427,436,418,449,404,378,387,345
"Edwin",106,127,165,149,159,125,158,139,152,152,145
"Efe",..,..,10,13,18,14,16,15,12,..,11
"Egil",..,13,13,14,13,15,11,14,11,..,19
"Egon",11,14,12,19,20,19,28,17,15,21,25
"Einar",31,32,37,46,58,60,74,60,56,72,71
"Eldin",..,..,..,11,..,10,10,..,..,..,12
"Eliah",..,..,11,..,..,12,14,17,15,13,13
"Elia ",10,..,10,..,..,13,18,12,11,22,12
"Elian ",..,..,..,12,13,17,12,11,13,18,20
"Elias",914,983,1035,1036,947,994,875,817,753,658,698
"Eliaz",..,..,10,..,..,17,..,13,..,11,..
"Elijah ",..,..,..,..,..,..,12,12,18,16,12
"Eli",..,..,..,..,..,12,17,19,..,29,22
"Elion ",..,..,..,..,10,12,16,..,16,25,16
"Eliot ",..,..,..,..,16,15,17,16,..,18,11
"Elis",82,111,149,156,159,157,175,172,192,178,196
"Ellion",..,..,..,..,..,..,..,..,..,..,13
"Ellioth ",..,..,..,11,..,..,..,..,11,..,..
"Elliot",280,405,441,427,386,400,426,411,402,407,476
"Elliott",27,39,36,40,33,50,47,54,53,67,63
"Ellis ",..,..,..,..,..,12,..,..,21,10,20
"Elmer",18,19,35,50,52,64,71,76,88,69,83
"Elmin",..,..,..,..,..,..,..,..,11,..,..
"Elof",12,..,..,10,..,13,13,..,10,12,14
"Elton",32,37,72,88,111,147,182,182,226,203,229
