"tilltalsnamn","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"Elion ",..,..,..,..,..,..,..,..,..,..,10,12,16,..,16,25,16
"Eliot ",..,..,..,..,..,..,..,..,..,..,16,15,17,16,..,18,11
"Elis",26,21,31,48,55,61,82,111,149,156,159,157,175,172,192,178,196
"Ellion",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,13
"Ellioth ",..,..,..,..,..,..,..,..,..,11,..,..,..,..,11,..,..
"Elliot",58,97,155,195,232,262,280,405,441,427,386,400,426,411,402,407,476
"Elliott",10,21,26,21,23,36,27,39,36,40,33,50,47,54,53,67,63
"Ellis ",..,..,..,..,..,..,..,..,..,..,..,12,..,..,21,10,20
"Elmer",..,10,..,14,19,16,18,19,35,50,52,64,71,76,88,69,83
"Elmin",..,..,..,..,..,..,..,..,..,..,..,..,..,..,11,..,..
"Elof",..,..,..,..,..,..,12,..,..,10,..,13,13,..,10,12,14
"Elton",..,..,..,..,14,21,32,37,72,88,111,147,182,182,226,203,229
"Elvin",..,..,..,..,18,23,36,41,39,51,56,71,106,129,167,164,161
"Elwin",..,..,..,..,..,..,..,..,..,14,16,15,25,26,34,36,32
"Elvis",..,..,..,12,26,17,39,48,39,54,68,63,73,69,48,51,40
"Emanuel",63,73,80,87,100,90,70,75,83,80,84,84,80,66,89,85,64
"Emilian",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10
"Emilio",18,19,21,22,32,26,42,42,68,69,65,77,66,78,98,104,95
"Emil",845,894,906,950,1082,1106,1018,941,899,836,768,701,727,696,633,565,502
"Emin",..,..,..,..,10,..,17,16,28,19,13,27,23,25,25,21,34
"Emir",..,..,16,12,21,14,12,18,20,13,20,30,33,43,47,51,56
"Emmanuel",..,..,..,..,..,..,..,..,..,..,..,..,11,12,12,..,19
"Emmett",..,..,..,..,..,..,..,..,..,..,..,..,..,10,10,10,11
"Emre",11,..,13,11,14,23,23,..,13,11,..,15,23,11,10,15,..
"Emrik",..,13,19,16,21,26,24,26,31,20,26,21,24,20,22,15,15
"Enar",..,..,..,..,..,..,..,..,..,..,..,11,..,..,..,10,..
"Enes",..,..,..,..,..,10,12,11,17,13,16,13,20,18,21,24,26
"Ensar",..,..,..,..,..,..,..,..,10,..,..,..,..,11,14,10,11
"Enzo",..,..,..,..,..,..,..,12,19,28,25,24,34,37,29,33,35
"Eren",..,..,..,..,..,..,..,..,10,..,12,..,13,..,..,10,13
"Eric",258,198,215,236,221,211,192,193,155,172,159,155,124,134,145,102,66
"Erik",947,921,851,820,899,830,836,707,717,684,628,570,613,508,463,408,382
"Erion",..,..,..,..,..,..,..,..,..,..,..,10,17,14,..,..,..
"Erjon",..,..,..,..,..,..,..,..,10,..,..,..,..,..,..,..,..
"Erland",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10,..
"Ernst ",..,..,..,..,..,..,..,..,..,..,..,..,12,..,..,..,..
"Eskil",..,14,16,31,33,32,44,47,37,52,77,61,88,76,66,74,65
"Ethan ",..,..,..,..,..,..,..,..,..,..,..,15,11,15,..,12,13
"Evan",..,..,..,..,..,..,..,..,..,..,..,..,10,13,..,..,11
"Evert ",..,..,..,..,..,..,..,..,..,..,12,..,..,..,..,..,..
"Eyvind",..,..,..,..,..,..,..,..,..,..,..,..,10,..,..,13,..
"Fabian",142,176,189,186,227,188,206,198,169,165,189,142,136,159,101,98,74
"Felipe",..,..,..,..,..,..,..,..,12,..,..,..,..,..,..,..,..
"Felix",483,492,466,433,405,460,491,488,505,464,423,390,366,315,347,297,288
"Filiph",11,15,12,10,..,12,..,..,..,..,..,..,..,..,..,..,..
"Filip",830,780,736,731,757,784,809,744,704,627,549,497,472,423,444,423,367
"Finn ",..,..,..,..,..,..,11,..,..,..,14,..,12,14,23,21,24
"Florian ",..,..,..,..,..,..,..,..,..,10,10,..,11,..,15,10,18
"Folke",..,..,11,..,17,10,14,18,42,34,57,71,63,81,97,103,121
"Francis",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10
"Franklin",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10,..
"Frank",11,..,..,11,15,16,21,30,43,50,73,96,154,182,177,214,232
"Frans",22,19,11,17,22,39,30,33,70,74,56,68,75,83,88,129,121
"Franz ",..,..,..,..,..,..,..,..,..,..,15,10,..,10,..,..,..
"Freddie",12,..,..,..,..,11,..,13,10,..,17,..,..,..,..,12,..
"Freddy",..,..,..,..,..,..,..,10,..,..,..,..,11,..,..,..,..
"Fred",13,16,13,11,16,15,15,30,34,36,30,46,56,50,80,70,88
"Fredric",12,17,15,13,10,..,..,..,..,..,..,..,..,..,..,..,..
"Fredrik",426,374,330,232,201,149,130,107,103,63,54,38,42,37,33,28,20
"Frej",..,..,..,..,..,11,..,12,12,13,16,13,15,21,27,30,39
"Frode ",..,..,..,..,..,..,10,..,..,12,..,14,21,10,..,..,13
"Gabriel",268,326,331,344,389,386,384,375,353,317,391,399,375,341,322,347,359
"George",19,30,21,19,25,20,21,16,17,13,17,11,15,..,21,22,17
"Georg",..,15,..,..,11,..,12,..,..,13,10,..,13,12,19,11,..
"Gideon ",..,..,..,..,..,..,..,..,..,..,13,10,10,10,11,..,..
"Gillis",..,..,..,..,..,..,..,..,..,..,..,..,..,11,16,..,16
"Gordon",..,..,..,11,..,..,12,..,..,..,10,..,..,..,..,..,..
"Gottfrid",..,..,..,..,..,..,..,15,..,..,..,..,10,13,15,12,15
"Grim ",..,..,..,..,..,..,..,..,..,12,..,..,14,12,13,20,12
"Gunnar",..,..,19,15,..,14,12,14,21,21,27,32,33,30,23,55,70
"Gustaf",155,145,139,133,155,143,158,118,90,110,94,67,84,75,73,57,63
"Gustav",547,561,587,599,664,704,676,614,579,631,579,527,532,449,462,455,417
"Gusten ",..,..,..,..,..,..,..,..,..,..,13,10,18,19,21,20,13
"Gösta ",..,..,..,..,..,..,..,..,..,..,17,17,28,14,25,16,22
"Hadi",..,..,..,14,..,10,..,19,19,18,20,23,11,19,12,14,..
"Haidar",..,..,..,..,..,..,..,..,..,..,..,..,..,..,11,..,..
"Hampus",444,447,560,576,612,553,484,411,426,337,315,288,245,209,208,154,141
"Hamza",13,12,16,17,16,12,22,19,40,33,34,52,52,50,46,44,64
"Hanad",..,..,..,..,..,..,..,..,..,..,..,..,..,11,..,..,..
"Hannes",143,171,191,217,196,199,222,228,248,233,172,165,162,157,139,112,129
"Hans",15,..,14,11,..,11,..,..,..,..,..,..,..,..,10,..,..
