"tilltalsnamn","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"Silas ",..,..,..,..,..,..,..,..,..,..,16,47,42,40,36,34,29
"Simon",1154,1143,1083,882,931,955,878,774,713,587,582,463,448,392,337,330,239
"Sixten",18,24,34,41,52,55,95,129,165,175,258,322,325,366,427,405,469
"Sonny",11,..,..,..,..,15,12,..,..,..,11,..,16,..,..,..,..
"Stefan",55,61,46,38,38,32,29,27,26,30,28,19,26,23,21,23,34
"Stellan ",..,..,..,..,..,..,..,..,..,..,..,11,..,12,24,23,29
"Sten ",..,..,..,..,..,..,..,..,..,..,..,10,..,..,..,..,..
"Steven ",..,..,..,..,..,..,..,..,..,..,..,..,10,..,..,..,..
"Stig ",..,..,..,..,..,..,..,..,..,11,..,..,14,16,15,22,11
"Sture ",..,..,..,..,..,..,..,..,..,..,..,20,11,12,14,13,14
"Sune",..,..,..,..,..,..,..,..,..,..,..,11,10,11,16,16,19
"Svante",35,22,39,37,53,57,80,86,113,126,138,136,152,141,163,157,142
"Sven",13,18,11,13,20,16,20,14,32,20,19,29,16,33,48,32,36
"Sylvester",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10
"Tage",..,..,..,..,17,30,29,38,56,70,88,115,123,151,139,189,205
"Taha",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,13
"Taim",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11,12
"Tarik",..,10,..,..,10,11,12,23,17,27,12,..,..,..,14,..,..
"Teddy",..,..,13,..,11,12,15,16,15,..,10,11,..,..,..,..,12
"Ted",39,34,41,38,41,27,31,61,49,55,59,66,80,83,78,131,98
"Teodor",54,50,42,50,51,70,76,77,70,76,59,71,82,67,77,76,76
"Teo",18,14,25,34,38,52,68,74,76,80,86,77,85,71,77,59,45
"Texas",..,..,..,..,..,..,..,11,22,32,16,27,45,38,40,30,35
"Theodore",..,..,..,10,..,23,14,16,22,32,34,51,55,37,42,68,86
"Theodor",80,106,88,115,124,163,179,209,197,231,240,269,334,284,252,309,328
"Theo",27,44,80,106,148,216,271,320,416,451,456,593,714,491,490,444,452
"Thiago ",..,..,..,..,..,..,..,..,..,..,..,..,..,..,13,21,23
"Thim",..,..,..,10,..,..,10,11,12,..,..,..,10,..,..,..,..
"Thomas",55,40,44,39,29,25,18,14,18,30,20,22,17,11,15,15,17
"Thor",15,10,10,11,16,20,11,15,27,21,23,38,39,47,73,75,85
"Thure ",..,..,..,..,..,..,..,..,..,..,10,..,..,..,..,11,..
"Tiam ",..,..,..,..,..,..,..,..,..,..,..,..,..,11,..,..,..
"Tiger",..,..,..,..,..,..,..,..,10,..,..,..,10,..,..,..,..
"Tim",257,273,284,276,280,303,313,317,299,254,223,214,221,162,144,142,119
"Timmie",..,10,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Timmy",39,31,48,41,38,26,24,27,25,14,18,17,20,14,14,19,12
"Timo ",..,..,..,..,..,..,..,..,..,..,..,10,11,..,..,..,13
"Timothy",36,31,29,24,37,35,26,21,19,23,19,27,19,15,23,23,13
"Tino ",..,..,..,..,..,..,..,..,..,..,..,..,16,11,11,10,15
"Tintin",10,10,..,..,10,..,..,..,..,..,..,12,..,..,..,..,..
"Titus ",..,..,..,..,..,..,..,..,..,..,..,10,12,..,..,..,10
"Tobias",471,382,311,269,233,233,191,145,145,102,81,48,55,31,31,26,19
"Todd ",..,..,..,..,..,..,..,..,..,..,..,..,..,..,15,..,12
"Tomas",36,32,29,19,21,18,26,16,15,15,11,12,13,15,11,16,12
"Tom",88,81,69,46,49,59,51,46,59,46,49,53,52,46,48,42,52
"Tommy",28,34,29,23,14,15,12,..,14,13,17,12,..,..,..,..,..
"Tony",31,15,21,13,15,17,24,14,13,16,..,..,11,..,..,..,..
"Tore ",..,..,..,..,..,..,14,17,24,40,20,26,34,36,28,34,60
"Tor",23,39,27,27,28,50,38,36,52,49,65,43,50,59,55,71,55
"Torsten ",..,..,..,..,..,..,..,..,..,..,..,..,..,..,11,11,18
"Totte ",..,..,..,..,..,..,..,10,10,..,..,10,..,..,..,..,..
"Travis ",..,..,..,..,..,..,..,..,..,..,..,..,..,11,..,..,..
"Tristan",..,..,11,..,19,26,39,45,46,69,62,84,78,73,57,57,73
"Troy ",..,..,..,..,..,..,..,10,..,17,26,32,30,34,24,24,20
"Truls",..,15,16,15,29,21,27,17,25,28,29,19,23,15,24,21,21
"Ture",..,..,16,17,26,35,45,54,62,73,72,89,124,104,103,119,122
"Tyler ",..,..,..,..,..,..,..,..,..,..,..,..,..,..,10,..,..
"Tyr ",..,..,..,..,..,..,..,..,..,..,..,10,..,11,..,14,15
"Uno ",..,..,..,..,..,..,..,12,..,..,..,16,17,15,23,13,18
"Valdemar",10,17,22,22,31,32,37,48,40,58,68,70,66,65,61,64,70
"Waldemar ",..,..,..,..,..,..,10,..,10,12,15,14,17,15,15,15,20
"Valentin",12,..,..,11,..,15,22,23,21,18,27,17,26,29,27,34,35
"Valentino",..,..,..,..,..,11,..,10,12,..,15,14,15,17,15,15,13
"Walid ",..,..,..,..,..,..,..,10,..,..,..,..,..,..,..,..,10
"Valle ",..,..,..,..,..,..,..,..,..,15,..,10,13,18,14,10,12
"Valter",10,18,23,25,35,37,50,65,78,92,133,126,169,169,221,213,256
"Walter",10,13,..,22,21,22,41,36,50,53,64,83,99,107,132,160,192
"Walther",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10,..
"Victor",413,452,472,388,385,402,397,323,354,330,300,292,286,276,253,265,231
"Wictor",14,18,19,21,11,17,12,15,13,..,..,..,11,11,10,13,..
"Vidar",22,18,28,27,38,52,77,97,113,149,155,168,178,192,201,242,242
"Widar",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11,..
"Vide",..,..,..,..,..,11,14,20,25,58,59,63,85,88,99,111,107
"Viggo",15,15,47,53,114,240,305,327,433,408,443,479,441,399,343,345,291
"Wiggo",..,..,..,10,13,31,32,38,59,50,59,61,58,54,51,45,39
"Vigor ",..,..,..,..,..,..,16,13,11,16,..,..,..,..,..,..,..
"Viking",13,16,17,13,21,10,12,17,19,..,24,13,16,18,17,12,12
"Viktor",550,582,589,534,546,590,555,549,556,536,425,414,424,427,388,342,308
"Wiktor",14,16,16,17,22,22,12,22,23,16,20,17,19,15,15,18,15
"Vilde ",..,..,..,..,..,..,..,10,..,13,12,12,21,47,37,24,32
"Wilde ",..,..,..,..,..,..,..,..,..,..,..,..,..,30,17,17,11
"Wilfred",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10
"Vilgot",..,19,31,31,57,68,91,141,161,170,163,171,180,162,177,160,160
"Wilgot",..,..,..,..,..,11,16,33,25,36,32,25,37,29,34,39,33
"Vilhelm",45,47,38,48,43,63,62,71,82,57,72,76,86,76,102,94,75
"Wilhelm",64,79,80,68,90,90,130,116,113,128,125,141,124,146,136,110,127
"Ville",13,28,40,34,57,80,119,157,162,137,196,193,206,231,159,151,139
"Wille",10,15,30,29,32,57,67,99,112,125,117,133,137,127,101,113,110
"Villiam",19,20,16,..,12,11,10,13,..,15,..,12,..,11,16,..,11
"William",823,940,1095,975,995,1215,1238,1115,1092,1138,963,989,1018,1017,893,896,830
"Willy",13,18,20,12,14,..,10,..,10,..,12,..,14,..,10,..,..
"Vilmer",12,12,19,30,34,52,71,82,125,200,184,208,186,196,176,154,136
"Wilmer",20,31,47,45,50,86,141,204,197,274,259,299,269,262,241,225,189
"Vilton ",..,..,..,..,..,..,..,..,..,..,..,..,..,13,15,..,16
"Wilton",..,..,..,..,..,..,..,..,..,12,29,23,27,38,43,54,66
"Vince ",..,..,..,..,..,..,..,..,..,..,10,11,14,15,19,23,25
"Vincent",80,102,89,118,124,145,224,219,305,344,463,519,573,582,632,607,614
"Wincent ",..,..,..,..,..,..,..,..,13,11,13,17,16,22,24,21,21
"Vinston ",..,..,..,..,..,..,..,..,..,..,..,..,13,..,..,13,10
"Winston",..,..,..,..,..,..,..,..,11,22,15,25,30,30,41,53,49
"Xander ",..,..,..,..,..,..,12,18,10,..,..,13,12,..,18,13,18
"Yahya",..,..,..,..,..,10,..,..,..,..,10,13,22,14,26,25,25
"Yahye",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14,..
"Yasin",..,..,..,11,..,..,11,10,16,17,18,18,29,25,19,25,27
"Yasir ",..,..,..,..,..,..,..,..,..,..,..,10,10,11,11,..,11
"Yassin",..,..,..,..,..,..,..,..,..,..,..,10,..,12,21,11,12
"Yazan",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11
"Yones",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10,..
"Yonis",10,..,..,..,..,..,10,..,..,..,..,..,..,..,..,..,..
"Yosef",..,..,..,..,16,..,..,10,19,25,37,33,47,33,33,35,42
"Younes",..,..,..,..,..,10,15,..,..,..,..,15,..,..,21,16,10
"Yousef",12,14,10,..,16,15,13,19,11,17,35,29,28,34,50,51,42
"Yousif",..,..,..,..,..,..,..,..,..,..,..,17,16,17,18,10,11
"Youssef",..,..,..,..,..,11,..,..,..,10,..,..,12,15,11,13,21
"Yunus",..,..,..,..,..,..,..,..,..,11,..,..,..,..,..,..,10
"Yusuf",12,15,..,10,14,..,18,16,13,32,24,23,31,41,50,47,67
"Zacharias",16,31,20,28,19,19,25,36,29,20,29,33,42,26,33,23,29
"Zackarias",12,14,..,21,12,12,23,39,25,25,22,31,30,44,26,37,26
"Zack",13,13,..,14,14,16,27,34,35,34,29,31,39,24,33,19,29
"Zaid",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12,10
"Zain",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10
"Zakaria",14,14,16,11,11,18,22,15,18,25,19,27,20,30,35,30,51
"Zakarias",..,10,..,12,14,17,19,12,20,12,15,..,..,12,13,18,18
"Zakariya",..,..,..,..,..,..,..,..,..,..,..,..,..,10,..,11,14
"Zakk ",..,..,..,..,..,..,..,..,..,..,..,..,10,..,..,..,..
"Zander ",..,..,..,..,..,..,..,..,..,13,11,13,13,16,10,19,..
"Zebastian",23,22,26,29,26,26,21,21,18,15,14,13,..,..,..,..,..
"Zeb",..,..,11,..,11,20,18,16,22,19,23,15,19,11,16,10,12
"Zeke ",..,..,..,..,..,..,..,11,..,13,17,..,19,15,11,17,21
"Zion ",..,..,..,..,..,..,..,..,16,23,18,16,19,14,11,15,16
"Åke",..,..,13,..,10,10,13,17,19,14,22,13,24,24,24,26,36
"Ömer ",..,..,..,..,..,..,..,..,..,..,..,12,..,..,..,..,..
