"tilltalsnamn","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"Damon",..,..,..,..,..,..,..,..,..,10
"Danial",..,..,..,..,..,..,10,..,..,10
"Daniel",319,271,243,208,211,220,174,192,169,164
"Danilo",..,..,..,..,..,10,14,10,..,10
"Dani",..,11,..,..,..,11,..,10,11,..
"Dan",..,..,..,..,..,..,..,..,..,..
"Danny",..,..,15,17,17,16,15,..,14,10
"Dante",62,87,141,116,129,128,117,118,116,150
"Danyar",..,..,..,..,..,11,..,10,..,..
"Darian",..,..,..,..,12,..,..,..,..,..
"Darin",59,45,34,24,31,28,26,23,28,27
"Dario",..,..,..,14,..,..,..,10,..,..
"Daris",..,..,..,..,..,..,..,..,..,11
"David",503,433,408,397,312,294,251,237,218,216
"Dean",..,..,..,..,..,..,..,..,10,..
"Denis",11,10,12,..,12,11,13,17,..,..
"Deniz",17,..,..,12,12,14,12,16,22,13
"Dennis",148,110,118,116,88,82,54,77,56,37
"Denniz",..,..,..,..,..,..,..,..,..,..
"Devin ",11,24,26,22,33,55,50,61,58,52
"Dewin",..,..,..,..,..,..,..,10,10,14
"Dexter",30,26,29,45,64,69,42,62,78,66
"Diar",..,..,..,..,..,..,..,..,..,12
"Didrik",25,32,25,29,27,33,39,25,29,27
"Diego",..,10,13,13,..,10,15,..,..,..
"Diesel",..,..,..,..,..,..,11,..,..,..
"Dilan",..,11,..,..,..,14,10,..,..,15
"Dino",21,15,26,30,22,22,21,..,20,16
"Dio ",..,..,..,..,..,..,10,..,..,..
"Dion",..,13,22,18,18,17,17,22,15,14
"Dominic",15,14,16,26,23,20,22,23,25,32
"Dominik",..,..,..,..,..,..,10,..,11,..
"Dorian",..,..,..,..,..,..,10,..,..,..
"Douglas",79,74,70,68,75,109,95,81,92,86
"Dylan",16,38,22,21,23,44,43,56,45,46
"Ebbe",41,49,62,74,114,134,134,230,221,329
"Ebbot ",..,..,..,..,..,23,15,20,27,69
"Eddie",95,104,115,112,130,168,164,170,161,164
"Eddy",..,..,14,..,..,..,14,..,..,..
"Edgar",17,19,13,18,21,47,30,23,34,41
"Edin",11,14,18,..,15,19,16,13,19,21
"Edmond",..,10,..,..,..,..,..,..,..,..
"Edmund",..,..,..,..,..,..,..,..,..,10
"Edvard",21,27,23,40,34,38,55,53,49,47
"Edward",32,50,41,45,68,74,76,110,115,101
"Edvin",400,407,427,436,418,449,404,378,387,345
"Edwin",127,165,149,159,125,158,139,152,152,145
"Efe",..,10,13,18,14,16,15,12,..,11
"Egil",13,13,14,13,15,11,14,11,..,19
