"tilltalsnamn","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"Terese",..,..,..,..,..,..,..,..,..,..
"Teresia",..,..,..,..,..,..,..,..,..,..
"Tess",41,37,39,19,37,20,27,15,12,..
"Thea",353,320,277,293,313,313,294,220,219,211
"Thelise ",..,10,..,..,..,..,..,..,..,..
"Thelma",25,27,30,40,33,36,40,27,34,31
"Theodora",..,..,11,..,..,..,..,14,13,10
"Therese",27,22,22,16,10,12,13,..,..,..
"Therése",..,..,..,..,..,..,..,..,..,..
"Thilda",33,38,24,20,30,29,24,38,28,20
"Thilde",37,27,29,24,37,82,54,46,54,43
"Thindra",27,25,27,21,14,12,..,17,19,16
"Thyra",29,39,28,29,19,27,30,27,31,28
"Tiara",..,..,..,..,..,..,10,..,..,11
"Tiffany",26,11,14,13,..,18,..,14,11,..
"Tilda",432,432,340,312,268,279,211,180,165,154
"Tilde",378,327,342,311,288,349,271,237,225,207
"Tilia ",..,10,11,13,14,11,11,12,10,18
"Tilja ",..,..,..,..,..,11,..,..,..,..
"Tillie",..,..,..,..,..,..,..,..,..,10
"Tilly ",10,15,14,13,31,13,12,20,19,24
"Tina",21,31,23,21,24,21,18,13,..,14
"Tindra",499,486,404,379,339,293,229,176,160,146
"Tintin",20,13,19,16,..,..,10,12,10,14
"Tone",11,..,..,..,..,..,..,..,10,..
"Tora",23,22,32,31,23,42,38,29,34,32
"Tova",174,156,127,76,86,116,79,68,67,53
"Towa",18,..,..,..,..,..,..,..,..,..
"Tove",101,109,83,64,71,207,177,130,112,104
"Towe",..,..,..,..,..,11,..,..,..,..
"Tua",..,..,..,..,..,..,..,..,..,..
"Tuva",360,382,407,407,384,413,384,339,274,289
"Tuwa ",..,14,17,12,..,12,..,16,12,10
"Tuva-Li ",..,12,..,13,12,19,17,12,23,19
"Tyra",277,338,308,316,303,382,303,333,291,302
"Ulrika",..,..,..,..,..,..,..,..,..,..
"Uma",..,..,12,10,..,13,..,..,..,14
"Unni ",..,..,..,..,12,..,..,..,..,10
"Valencia ",..,..,..,..,..,14,..,..,15,..
"Valentina",17,17,26,30,42,35,49,44,44,41
"Valeria",..,..,..,..,..,..,12,..,13,14
"Vanesa",..,..,..,..,..,..,..,..,..,..
"Vanessa",88,97,103,89,116,113,103,84,78,94
"Vanja",24,21,28,26,29,26,20,23,22,26
"Vanna",13,11,13,14,12,..,13,..,..,..
"Vega",23,29,28,34,28,46,51,45,43,65
"Vendela",115,110,90,103,87,78,58,44,63,42
"Wendela",..,..,15,11,12,17,11,12,14,11
"Vera",207,231,271,281,314,381,373,377,414,409
"Wera",..,11,17,15,17,18,27,25,32,22
"Veronica",12,14,23,..,14,13,10,11,..,12
"Veronika",10,11,..,..,10,12,11,10,..,..
"Whilma",..,..,..,..,..,..,..,..,..,..
"Victoria",99,81,78,84,88,77,82,85,78,84
"Vida ",13,..,11,15,16,20,19,23,44,38
"Viktoria",47,49,50,51,42,39,45,33,34,37
"Wiktoria",..,..,..,..,..,..,..,..,11,..
"Vilda",35,42,64,64,80,73,84,94,72,62
"Wilda",34,56,45,59,63,81,59,51,70,51
"Vilhelmina",..,..,..,..,..,..,10,..,..,17
"Wilhelmina",..,..,..,10,10,13,10,..,..,11
"Vilja",20,23,23,31,46,53,43,50,42,38
"Wilja ",..,..,..,11,18,21,23,21,30,25
"Villemo",10,..,..,..,..,..,13,14,..,..
"Vilma",154,191,196,135,158,187,148,137,140,139
"Wilma",592,652,719,562,504,546,503,433,456,432
"Viola",32,36,52,63,66,76,79,81,89,89
"Vira ",..,..,10,..,..,11,..,..,10,12
"Yara ",14,13,20,26,25,26,26,34,18,24
"Yasmina",..,..,10,..,..,..,..,..,..,..
"Yasmine",22,31,21,20,24,20,14,18,18,20
"Yasmin",26,36,47,49,40,48,51,51,43,44
"Ylva",32,42,51,41,58,46,39,48,56,47
"Yrsa",..,..,..,..,..,..,..,..,..,..
"Yusra",..,..,10,..,..,17,10,14,16,25
"Zahraa",14,..,18,20,14,16,16,17,18,..
"Zahra",25,26,21,18,28,29,20,27,26,33
"Zainab",16,..,14,15,27,20,21,28,19,26
"Zandra",..,..,..,..,..,..,..,..,..,..
"Zanna",..,..,..,..,..,..,..,..,..,..
"Zara",..,17,14,13,21,..,15,18,18,17
"Zeinab",..,..,11,12,12,12,10,13,19,..
"Zelda ",17,11,13,19,24,27,30,28,27,46
"Zeynep",..,..,..,..,..,11,..,..,..,..
"Zilan",..,11,..,..,..,..,..,..,..,..
"Zoe",..,22,28,24,26,29,43,40,52,50
"Zoé",..,..,..,..,..,..,..,..,..,11
"Zoey ",..,..,..,..,..,..,10,26,30,27
"Zuzanna",..,..,..,..,10,..,15,..,..,..
"Åsa",17,..,..,..,..,..,..,..,..,..
"Ängla",24,36,31,28,11,..,12,13,..,..
